Género y especie;Tiempo;Ubicación;Zona;País actual;Hábitat;Capacidad craneal;Altura;Tamaño de los incisivos;Forma de la mandíbula;Toroide supraorbitario;Prognatismo;Posición del foramen magnum;Tamaño del canino;Forma de los caninos;Esmalte dental;Tecno;Tipo tecno;Bípedo;Brazos;Pies;Dieta;Dimorfismo sexual;Cadera;Frente vertical;Anatomía;Migrado;Esqueleto
Homo Floresiensis;0.97716545;Asia ;oriental;Indonesia;peninsular;38.261.682;9.354.264;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Afarensis;370.499.083;Africa;oriental;Kenya;mixed;38.317.042;12.236.722;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
hominino Orrorin tugenencin;597.345.766;Africa;oriental;Kenya;forest;11.168.021;11.767.352;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Rodhesiensis;0.56274539;Africa;oriental;Ethiopia;savannah;118.135.761;14.998.707;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Sapiens;0.81494423;Africa;oriental;Kenya;savannah;128.563.246;16.284.784;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Rodhesiensis;0.41336418;Africa;oriental;Ethiopia;savannah;11.825.006;14.449.427;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
hominino Sahelanthropus tchadensis;750.591.316;Africa;central;Republic of Chad;mixed;15.214.978;9.043.309;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Paranthropus Aethiopicus;293.479.436;Africa;oriental;Kenya;forest-savanna;40.091.324;11.305.145;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Antecesor;11.064.413;Europa;west;Spain;savannah;110.295.975;168.439;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Australopithecus Bahrelghazali;344.969.867;Africa;central;Republic of Chad;mixed;22.550.974;11.997.305;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Boisei;286.180.339;Africa;oriental;Ethiopia;forest;59.272.741;10.107.849;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Robustus;239.219.922;Africa;south;South Africa;jungle;39.001.011;12.635.305;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Erectus;180.822.414;Asia ;west;Indonesia;savannah;95.179.758;16.836.058;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Naledi;0.19305921;Africa;south;South Africa;jungle;40.972.379;1.254.792;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Afarensis;42.266.937;Africa;oriental;Kenya;mixed;21.179.076;12.513.003;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Floresiensis;0.05115863;Asia ;oriental;Indonesia;peninsular;17.369.223;10.557.678;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Georgicus;192.986.968;Asia ;west;Georgia;savannah;59.756.734;15.127.381;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Erectus;188.550.787;Asia ;west;Indonesia;savannah;112.434.796;1.687.805;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Rudolfensis;247.491.556;Africa;oriental;Kenya;savannah;82.257.137;12.261.227;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Naledi;0.97790778;Africa;south;South Africa;jungle;21.732.167;12.221.669;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
hominino Sahelanthropus tchadensis;7.195.724;Africa;central;Republic of Chad;mixed;2.560.935;8.442.853;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Paranthropus Robustus;190.063.755;Africa;south;South Africa;jungle;35.421.827;11.919.016;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Bahrelghazali;328.180.635;Africa;central;Republic of Chad;mixed;40.382.828;11.229.779;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Floresiensis;0.84204819;Asia ;oriental;Indonesia;peninsular;26.041.371;9.363.585;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Sediba;165.676.306;Africa;south;South Africa;mixed;42.995.061;11.971.003;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Erectus;149.303.952;Asia ;west;Indonesia;savannah;109.123.437;16.673.336;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Garhi;304.716.232;Africa;oriental;Ethiopia;mixed;34.744.944;12.544.948;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Habilis;300.202.626;Africa;oriental;Ethiopia;savannah;681.1;13.167.957;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Rudolfensis;224.587.777;Africa;oriental;Kenya;savannah;55.764.203;13.115.983;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
hominino Sahelanthropus tchadensis;751.023.696;Africa;central;Republic of Chad;mixed;23.744.235;8.466.516;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Heidelbergensis;0.55969135;Europa;central;Germany;cold forest;123.780.348;18.134.409;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Paranthropus Aethiopicus;303.655.939;Africa;oriental;Kenya;forest-savanna;42.926.071;10.463.628;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Afarensis;43.978.058;Africa;oriental;Kenya;mixed;3.671.228;12.631.854;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Georgicus;168.878.069;Asia ;west;Georgia;savannah;74.513.778;15.495.538;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Sapiens;0.1228799;Africa;oriental;Kenya;savannah;119.161.092;17.763.957;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Heidelbergensis;0.35054407;Europa;central;Germany;cold forest;123.598.338;18.379.143;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
hominino Sahelanthropus tchadensis;698.911.399;Africa;central;Republic of Chad;mixed;11.182.785;940.934;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Anamensis;422.086.054;Africa;oriental;Kenya;forest-gallery;43.405.808;12.440.716;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Africanus;370.193.951;Africa;south;South Africa;forest-gallery;67.529.415;10.889.651;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Australopithecus Africanus;346.075.734;Africa;south;South Africa;forest-gallery;42.045.039;11.134.368;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
hominino Sahelanthropus tchadensis;692.124.797;Africa;central;Republic of Chad;mixed;8.909.316;8.338.343;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Habilis;248.482.486;Africa;oriental;Ethiopia;savannah;69.288.811;12.187.284;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Paranthropus Boisei;247.643.464;Africa;oriental;Ethiopia;forest;56.122.051;10.296.997;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Afarensis;443.669.669;Africa;oriental;Kenya;mixed;3.573.761;12.268.526;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
hominino Orrorin tugenencin;65.613.085;Africa;oriental;Kenya;forest;6.744.942;12.268.656;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Habilis;287.201.988;Africa;oriental;Ethiopia;savannah;66.120.132;126.922;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Ergaster;177.006.797;Africa;oriental;Kenya;savannah;96.386.814;1.616.878;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Afarensis;414.736.062;Africa;oriental;Kenya;mixed;44.116.898;12.607.045;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Naledi;0.28608302;Africa;south;South Africa;jungle;30.770.707;12.908.222;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
hominino Orrorin tugenencin;622.043.992;Africa;oriental;Kenya;forest;23.609.424;11.369.016;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Sahelanthropus tchadensis;769.463.548;Africa;central;Republic of Chad;mixed;13.352.654;8.421.677;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
hominino Sahelanthropus tchadensis;694.058.381;Africa;central;Republic of Chad;mixed;9.783.072;9.980.037;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Erectus;187.411.524;Asia ;west;Indonesia;savannah;95.388.961;15.786.145;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Boisei;281.738.764;Africa;oriental;Ethiopia;forest;38.867.033;10.782.484;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Ardipithecus ramidus / kabadda;447.386.672;Africa;oriental;Ethiopia;mixed;32.489.904;10.099.527;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Australopithecus Africanus;396.820.673;Africa;south;South Africa;forest-gallery;46.079.816;10.405.209;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Ergaster;124.712.333;Africa;oriental;Kenya;savannah;80.428.084;16.258.183;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Boisei;242.423.607;Africa;oriental;Ethiopia;forest;58.997.185;11.344.843;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Boisei;287.622.225;Africa;oriental;Ethiopia;forest;39.616.139;11.056.539;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Antecesor;130.326.473;Europa;west;Spain;savannah;11.055.921;17.459.292;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
hominino Ardipithecus ramidus / kabadda;382.497.417;Africa;oriental;Ethiopia;mixed;32.529.338;11.749.774;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Australopithecus Bahrelghazali;357.727.922;Africa;central;Republic of Chad;mixed;43.465.579;11.055.772;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Erectus;112.016.241;Asia ;west;Indonesia;savannah;91.859.327;16.922.123;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Georgicus;197.692.611;Asia ;west;Georgia;savannah;63.839.661;14.154.466;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Afarensis;416.962.754;Africa;oriental;Kenya;mixed;27.771.017;13.152.146;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Australopithecus Bahrelghazali;394.418.041;Africa;central;Republic of Chad;mixed;20.535.879;128.172;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
hominino Orrorin tugenencin;616.521.967;Africa;oriental;Kenya;forest;2.963.955;11.460.812;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Sapiens;0.79640065;Africa;oriental;Kenya;savannah;135.345.923;17.081.455;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Australopithecus Africanus;410.383.769;Africa;south;South Africa;forest-gallery;55.498.268;11.348.466;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Georgicus;198.535.268;Asia ;west;Georgia;savannah;68.394.682;14.887.443;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
